5#风箱负压_kPa,预测CO浓度_mg_m3
-13.483,3575.2923867227096
-13.436565656565657,3575.2923867227096
-13.390131313131313,3575.2923867227096
-13.34369696969697,3575.2923867227096
-13.297262626262627,3575.2923867227096
-13.250828282828284,3575.2923867227096
-13.20439393939394,3575.2923867227096
-13.157959595959596,3575.2923867227096
-13.111525252525253,3575.2923867227096
-13.065090909090909,3575.2923867227096
-13.018656565656567,3575.2923867227096
-12.972222222222223,3575.2923867227096
-12.92578787878788,3575.2923867227096
-12.879353535353536,3575.2923867227096
-12.832919191919192,3575.2923867227096
-12.786484848484848,3575.2923867227096
-12.740050505050505,3575.2923867227096
-12.693616161616163,3575.2923867227096
-12.647181818181819,3575.2923867227096
-12.600747474747475,3575.2923867227096
-12.554313131313132,3575.2923867227096
-12.507878787878788,3575.2923867227096
-12.461444444444444,3575.2923867227096
-12.4150101010101,3575.2923867227096
-12.368575757575758,3575.2923867227096
-12.322141414141415,3575.2923867227096
-12.275707070707071,3575.2923867227096
-12.229272727272727,3575.2923867227096
-12.182838383838384,3575.2923867227096
-12.13640404040404,3575.2923867227096
-12.089969696969698,3575.2923867227096
-12.043535353535354,3575.2923867227096
-11.99710101010101,3575.2923867227096
-11.950666666666667,3575.2923867227096
-11.904232323232323,3575.2923867227096
-11.85779797979798,3575.2923867227096
-11.811363636363637,3575.2923867227096
-11.764929292929294,3575.2923867227096
-11.71849494949495,3575.2923867227096
-11.672060606060606,3575.2923867227096
-11.625626262626263,3575.2923867227096
-11.579191919191919,3534.819362271857
-11.532757575757575,3527.535927867242
-11.486323232323233,3527.535927867242
-11.43988888888889,3527.535927867242
-11.393454545454546,3527.5406308181714
-11.347020202020202,3527.5406308181714
-11.300585858585858,3527.5406308181714
-11.254151515151515,3527.531168153155
-11.20771717171717,3527.531168153155
-11.161282828282829,3527.5416646357025
-11.114848484848485,3527.547405251428
-11.068414141414141,3527.547405251428
-11.021979797979798,3527.547405251428
-10.975545454545454,3527.547405251428
-10.929111111111112,3527.547405251428
-10.882676767676767,3527.547405251428
-10.836242424242425,3527.547405251428
-10.789808080808081,3527.547405251428
-10.743373737373737,3527.5596258238747
-10.696939393939394,3527.546073957206
-10.65050505050505,3527.546073957206
-10.604070707070708,3527.546073957206
-10.557636363636362,3527.546073957206
-10.51120202020202,3527.5669785486984
-10.464767676767677,3527.5669785486984
-10.418333333333333,3527.5669785486984
-10.37189898989899,3527.5669785486984
-10.325464646464646,3527.5669785486984
-10.279030303030304,3527.5669785486984
-10.23259595959596,3527.5669785486984
-10.186161616161616,3527.5669785486984
-10.139727272727272,3527.5669785486984
-10.093292929292929,3527.5669785486984
-10.046858585858585,3527.5669785486984
-10.000424242424241,3527.5669785486984
-9.9539898989899,3527.5669785486984
-9.907555555555556,3527.5669785486984
-9.861121212121212,3527.5669785486984
-9.814686868686868,3527.5669785486984
-9.768252525252525,3527.5669785486984
-9.72181818181818,3527.5669785486984
-9.675383838383837,3527.5669785486984
-9.628949494949495,3527.5669785486984
-9.582515151515151,3527.5669785486984
-9.536080808080808,3527.5669785486984
-9.489646464646464,3527.5669785486984
-9.44321212121212,3527.5669785486984
-9.396777777777778,3527.5669785486984
-9.350343434343433,3527.5669785486984
-9.303909090909091,3527.5669785486984
-9.257474747474747,3527.5669785486984
-9.211040404040403,3527.5669785486984
-9.16460606060606,3527.5669785486984
-9.118171717171716,3527.5669785486984
-9.071737373737374,3527.5669785486984
-9.025303030303029,3527.5669785486984
-8.978868686868687,3527.5669785486984
-8.932434343434343,3527.5669785486984
-8.886,3527.5669785486984
